date; À vista R$; À vista US$;Unnamed: 3;Unnamed: 4;temperature_2m_max;temperature_2m_min;wind_speed_10m_max;rain_sum;precipitation_hours;rain
2019-02-25;305,11;81,60;;;12.4585;-1.4914999;14.587776;0.0;0.0;0.0
2019-02-26;306,36;81,74;;;11.158501;0.6085;13.392774;0.0;0.0;0.0
2019-02-27;305,42;81,90;;;14.2085;0.8585;15.226764;0.0;0.0;0.0
2019-02-28;304,60;81,23;;;12.408501;3.8085;21.96;0.0;0.0;0.0
2019-01-03;304,25;80,62;;;2.1585;-3.0414999;21.437386;0.1;4.0;0.0
2019-06-03;307,55;80,13;;;33.608498;18.258501;22.033648;0.0;0.0;0.0
2019-07-03;306,69;78,70;;;18.9585;10.5585;22.206486;0.1;1.0;0.0
2019-08-03;307,19;79,42;;;24.5585;14.8585005;15.408671;0.1;1.0;0.0
2019-11-03;306,11;79,70;;;12.5085;7.7085;16.766108;3.2999997;12.0;0.5
2019-12-03;304,78;79,97;;;5.4084997;-1.4415;17.533146;0.2;2.0;0.0
2019-03-13;303,77;79,79;;;9.9585;3.5085;37.745102;3.8;12.0;0.3
2019-03-14;303,61;78,94;;;8.3585005;3.5085;28.47643;8.099999;15.0;0.1
2019-03-15;300,95;78,82;;;9.4585;6.0585;35.543507;3.2000003;11.0;0.0
2019-03-18;299,45;79,03;;;7.7085;2.8085;36.8486;2.5;7.0;0.0
2019-03-19;299,27;79,09;;;8.2585;-0.6415;20.966715;0.3;2.0;0.0
2019-03-20;299,16;79,78;;;11.6085005;-1.8915;19.13426;0.0;0.0;0.0
2019-03-21;299,39;78,91;;;13.658501;4.9084997;18.391735;0.0;0.0;0.0
2019-03-22;301,25;77,16;;;13.5085;3.6585;11.435313;0.0;0.0;0.0
2019-03-25;301,62;78,16;;;7.8585;1.5085001;27.009598;2.5;7.0;0.0
2019-03-26;300,77;77,78;;;8.3085;2.0585;31.154043;0.1;1.0;0.0
2019-03-27;302,03;76,46;;;9.5085;3.7085001;21.602999;0.8;4.0;0.0
2019-03-28;304,54;77,89;;;10.9585;7.3085;16.831684;2.8;11.0;0.2
2019-03-29;302,45;77,25;;;12.7585;3.5085;11.966954;0.0;0.0;0.0
2019-01-04;296,24;76,49;;;5.4585;-0.9415;23.803596;1.1;7.0;0.0
2019-02-04;292,51;75,86;;;4.7584996;-1.9415;18.86139;0.0;0.0;0.0
2019-03-04;291,94;75,44;;;14.2585;5.9585;40.32161;1.8;6.0;0.0
2019-04-04;290,79;75,49;;;19.3085;7.7584996;18.25026;0.0;0.0;0.0
2019-05-04;287,53;74,37;;;10.3085;1.1085;16.09969;2.1000001;8.0;0.0
2019-08-04;290,48;75,51;;;23.9085;13.8085;17.10284;0.3;3.0;0.0
2019-09-04;292,21;75,80;;;27.0585;13.1085005;22.065973;0.2;1.0;0.0
2019-10-04;286,60;75,07;;;12.658501;4.8585;19.855558;13.700002;15.0;0.0
2019-11-04;284,30;73,69;;;11.9585;7.7085;14.372974;6.9;12.0;0.5
2019-12-04;288,08;74,11;;;6.5585;-1.0914999;16.311613;0.0;0.0;0.0
2019-04-15;289,48;74,80;;;12.5585;1.2585001;17.148247;0.0;0.0;0.0
2019-04-16;290,63;74,58;;;14.7085;1.3585;21.67487;0.0;0.0;0.0
2019-04-17;287,13;73,02;;;16.8585;3.4085;16.954432;0.0;0.0;0.0
2019-04-18;290,11;73,82;;;19.9585;6.5084996;18.733839;0.0;0.0;0.0
2019-04-22;286,21;72,81;;;18.8085;7.1085;32.048088;0.0;0.0;0.0
2019-04-23;286,38;73,02;;;19.6585;10.408501;39.95351;0.4;2.0;0.0
2019-04-24;284,99;71,50;;;22.5585;10.908501;23.199759;0.2;1.0;0.0
2019-04-25;285,38;72,18;;;24.258501;12.8585005;18.36353;0.1;1.0;0.0
2019-04-26;285,30;72,58;;;25.2085;9.7585;23.540806;5.7;7.0;0.0
2019-04-29;285,92;72,55;;;16.758501;5.2085;24.72495;2.9999998;10.0;0.1
2019-04-30;284,26;72,53;;;17.3585;4.7085;18.775301;2.4;2.0;0.0
2019-02-05;279,06;70,47;;;4.2584996;0.2085;19.562946;0.0;3.0;0.0
2019-03-05;278,36;70,72;;;8.7085;2.4585001;37.88048;1.2;9.0;0.0
2019-06-05;272,95;68,98;;;32.8085;19.8085;19.813087;0.0;0.0;0.0
2019-07-05;266,08;67,04;;;20.9585;14.3085;26.309572;1.1;8.0;0.1
2019-08-05;264,86;67,41;;;25.0585;13.8085;14.408997;0.9;2.0;0.0
2019-09-05;265,50;67,23;;;22.1585;10.7085;30.141266;0.3;2.0;0.2
2019-10-05;267,50;67,88;;;11.7085;3.3085;24.344624;4.3999996;10.0;1.2
2019-05-13;270,31;67,86;;;14.658501;4.6085;20.49156;0.1;1.0;0.0
2019-05-14;276,12;69,50;;;13.4585;3.2585;29.387999;0.2;2.0;0.0
2019-05-15;281,05;70,40;;;13.4585;3.2085001;22.450264;1.5;4.0;0.0
2019-05-16;275,82;68,31;;;13.7085;5.5585;22.768398;11.300001;13.0;0.7
2019-05-17;272,01;66,34;;;18.6585;5.4585;13.910169;0.0;0.0;0.0
2019-05-20;277,89;67,74;;;24.6585;12.8085;18.792551;4.6;5.0;0.0
2019-05-21;281,26;69,41;;;22.4585;12.1085005;16.489416;0.4;3.0;0.0
2019-05-22;282,30;69,84;;;14.8585005;9.9585;28.257132;1.4000001;10.0;0.0
2019-05-23;284,88;70,43;;;19.4085;8.5585;21.868332;0.0;0.0;0.0
2019-05-24;287,72;71,68;;;22.2085;8.3585005;16.766108;0.0;0.0;0.0
2019-05-27;284,71;70,60;;;19.508501;13.6085005;23.795427;0.2;2.0;0.0
2019-05-28;287,88;71,67;;;18.9585;8.658501;20.519999;0.0;0.0;0.0
2019-05-29;293,08;73,73;;;16.508501;7.2584996;16.199999;0.0;0.0;0.0
2019-05-30;299,04;75,21;;;22.9585;6.7085;21.603;0.0;0.0;0.0
2019-05-31;299,33;76,24;;;24.008501;13.4585;19.083395;1.4000001;6.0;0.0
2019-03-06;302,02;77,52;;;11.2085;1.3585;23.34455;0.4;2.0;0.0
2019-04-06;302,37;78,37;;;20.008501;7.5585;16.93531;0.0;0.0;0.0
2019-05-06;286,20;73,38;;;11.408501;2.3085;23.535301;0.70000005;4.0;0.0
2019-06-06;295,21;76,10;;;29.8085;14.8585005;20.150354;16.6;14.0;0.0
2019-07-06;294,24;75,99;;;23.258501;12.158501;25.721743;4.0;7.0;0.0
2019-10-06;292,46;75,42;;;10.908501;0.6585;13.217443;0.0;0.0;0.0
2019-11-06;286,87;74,57;;;8.658501;5.2584996;17.533146;4.4999995;16.0;0.1
2019-12-06;287,63;74,55;;;5.8585;0.6585;23.933908;6.6000004;15.0;0.0
2019-06-13;285,91;74,15;;;25.508501;14.7585;10.630672;0.8;3.0;0.0
2019-06-14;287,52;73,86;;;30.3585;14.908501;24.098497;0.3;1.0;0.0
2019-06-17;284,55;72,94;;;26.4085;14.4585;13.049689;0.1;1.0;0.0
2019-06-18;279,70;72,44;;;29.758501;16.8585;19.681828;0.0;0.0;0.0
2019-06-19;278,22;72,21;;;30.9585;18.008501;17.917007;0.5;1.0;0.0
2019-06-21;286,30;74,95;;;24.258501;14.7585;16.746773;0.1;1.0;0.1
2019-06-24;286,21;74,85;;;29.1085;16.258501;16.954432;0.0;0.0;0.0
2019-06-25;291,29;75,64;;;33.658497;19.8085;19.862083;0.0;0.0;0.0
2019-06-26;289,33;75,19;;;36.358498;16.9585;24.967497;0.0;0.0;0.0
2019-06-27;288,90;75,41;;;25.1085;15.408501;21.67487;0.0;0.0;0.0
2019-06-28;294,22;76,70;;;24.3085;13.8585005;12.979984;0.0;0.0;0.0
2019-01-07;294,39;76,56;;;5.4084997;1.2085;24.850431;6.2000003;18.0;0.0
2019-02-07;290,51;75,40;;;6.2085;-1.0914999;20.633371;0.1;1.0;0.0
2019-03-07;296,71;77,65;;;16.1585;7.6085;33.89549;1.5;4.0;0.5
2019-04-07;295,06;77,77;;;18.258501;5.8585;15.617529;0.0;0.0;0.0
2019-05-07;293,38;76,86;;;12.3085;1.7085;13.979871;0.2;2.0;0.1
2019-08-07;289,00;75,93;;;24.3085;16.0085;22.148046;0.9000001;4.0;0.0
2019-09-07;287,25;75,88;;;20.008501;8.908501;12.313894;0.3;2.0;0.0
2019-10-07;285,43;76,05;;;11.158501;0.1585;11.966953;0.0;0.0;0.0
2019-11-07;285,10;76,03;;;10.8085;5.7085;13.363711;0.2;2.0;0.0
2019-12-07;285,43;76,30;;;8.908501;5.9585;29.478264;1.8000002;10.0;0.5
2019-07-15;280,07;74,55;;;18.758501;14.658501;18.448023;0.1;1.0;0.0
2019-07-16;280,16;74,45;;;20.8585;12.908501;23.266697;0.5;4.0;0.0
2019-07-17;283,41;75,40;;;22.9085;12.0085;12.181625;0.0;0.0;0.0
2019-07-18;283,25;75,96;;;25.6585;13.0585;12.849528;0.0;0.0;0.0
2019-07-19;279,80;74,67;;;24.6585;15.2585;17.709658;0.2;1.0;0.0
2019-07-22;278,07;74,39;;;25.1585;15.8585005;18.0036;0.3;2.0;0.0
2019-07-23;276,88;73,38;;;30.258501;17.4085;19.174856;0.0;0.0;0.0
2019-07-24;277,05;73,47;;;32.908497;17.6085;12.682018;0.0;0.0;0.0
2019-07-25;277,80;73,43;;;34.108498;19.508501;18.39878;0.0;0.0;0.0
2019-07-26;273,97;72,71;;;30.8585;20.008501;21.707731;0.0;0.0;0.0
2019-07-29;276,39;73,14;;;33.5085;21.3085;18.430452;2.2;5.0;0.0
2019-07-30;276,03;72,76;;;29.8585;18.7085;16.343367;0.8;4.0;0.0
2019-07-31;274,71;72,33;;;26.4585;15.5085;13.276144;9.7;10.0;0.0
2019-01-08;271,81;70,75;;;5.9084997;1.3085;32.209442;8.599999;24.0;0.4
2019-02-08;274,00;70,55;;;8.2585;1.5085001;24.946726;0.0;0.0;0.0
2019-05-08;273,11;68,95;;;18.008501;2.0585;25.582806;1.7;5.0;0.0
2019-06-08;276,08;69,79;;;22.508501;12.4585;30.758411;0.5;1.0;0.0
2019-07-08;278,20;69,97;;;18.758501;10.8085;23.319553;0.1;1.0;0.0
2019-08-08;278,00;70,83;;;25.8085;15.158501;24.280659;0.1;1.0;0.0
2019-09-08;278,30;70,65;;;20.1585;10.408501;11.753877;0.6;2.0;0.0
2019-12-08;278,36;69,97;;;10.658501;5.6085;29.808346;0.8;3.0;0.0
2019-08-13;278,90;70,38;;;21.9085;11.8585005;25.068514;0.5;4.0;0.0
2019-08-14;281,31;69,68;;;20.9585;11.408501;19.083395;0.0;0.0;0.0
2019-08-15;283,39;70,97;;;22.5585;11.7085;24.482647;0.1;1.0;0.0
2019-08-16;276,44;69,11;;;22.2085;14.908501;18.72;0.1;1.0;0.0
2019-08-19;281,23;69,17;;;23.6085;13.408501;19.809813;0.0;0.0;0.0
2019-08-20;281,45;69,67;;;24.508501;12.7585;10.464797;1.0;6.0;0.0
2019-08-21;283,31;70,41;;;23.3085;11.7585;16.075521;0.0;0.0;0.0
2019-08-22;285,36;70,08;;;26.4085;10.908501;14.113652;0.0;0.0;0.0
2019-08-23;286,61;69,62;;;27.8085;14.0585;12.031756;0.0;0.0;0.0
2019-08-26;287,11;69,17;;;31.008501;18.6085;13.039754;0.0;0.0;0.0
2019-08-27;287,68;69,34;;;30.6085;20.1585;21.9718;0.1;1.0;0.0
2019-08-28;296,98;71,46;;;32.158497;18.3085;14.264361;0.0;0.0;0.0
2019-08-29;292,08;70,16;;;30.1085;17.6085;13.493999;0.4;2.0;0.0
2019-08-30;291,58;70,58;;;29.1085;18.9085;11.542478;0.5;5.0;0.1
2019-02-09;288,89;69,08;;;9.908501;5.5084996;31.853388;2.1;7.0;0.0
2019-03-09;289,21;69,20;;;11.5085;4.1584997;43.71592;10.299998;14.0;0.0
2019-04-09;287,92;70,16;;;11.6085005;2.3085;18.584509;0.0;0.0;0.0
2019-05-09;283,63;69,16;;;16.8085;8.7085;19.255793;1.6000001;11.0;0.2
2019-06-09;280,69;68,91;;;25.8585;12.3085;16.24394;0.0;0.0;0.0
2019-09-09;282,63;68,98;;;14.908501;12.8585005;23.623243;18.1;22.0;0.4
2019-10-09;287,01;70,02;;;15.5585;9.8585005;21.252197;2.8999999;13.0;0.0
2019-11-09;287,17;70,68;;;8.3585005;2.3085;18.94024;2.0;7.0;0.1
2019-12-09;288,53;71,12;;;8.7585;3.4585001;24.567198;0.5;4.0;0.1
2019-09-13;287,81;70,35;;;20.3085;10.5085;29.88217;1.8000001;5.0;0.0
2019-09-16;289,36;70,75;;;16.4085;10.658501;18.0036;0.5;5.0;0.0
2019-09-17;288,53;70,72;;;15.8585005;8.2585;33.1845;2.6999998;6.0;0.0
2019-09-18;288,31;70,13;;;15.7585;7.4585;29.15778;0.0;0.0;0.0
2019-09-19;288,97;69,51;;;16.2085;7.0585;16.610792;0.0;0.0;0.0
2019-09-20;288,56;69,48;;;16.2085;6.5084996;14.512064;0.0;0.0;0.0
2019-09-23;291,08;69,79;;;22.8585;9.7585;15.463244;0.0;0.0;0.0
2019-09-24;291,60;69,88;;;18.8085;12.8085;9.793059;0.1;1.0;0.0
2019-09-25;293,00;70,52;;;17.7085;10.0585;9.585739;4.1000004;12.0;0.0
2019-09-26;292,68;70,36;;;19.758501;9.3585005;14.372974;0.0;0.0;0.0
2019-09-27;295,20;71,05;;;17.3085;12.2085;16.854767;10.099999;13.0;0.0
2019-09-30;294,47;70,94;;;15.5085;11.5585;41.560905;9.2;12.0;0.2
2019-01-10;298,17;71,63;;;1.7085;-0.8415;19.852295;0.0;0.0;0.0
2019-02-10;296,89;71,80;;;8.5585;2.6585;31.222609;8.6;18.0;0.0
2019-03-10;295,71;72,41;;;7.5585;1.8585;29.810522;10.4;15.0;0.0
2019-04-10;290,92;71,64;;;8.7085;1.1085;17.873556;0.0;0.0;0.0
2019-07-10;285,18;69,52;;;21.3085;11.1085005;20.898613;1.4000001;5.0;0.0
2019-08-10;288,51;70,54;;;27.2085;17.9585;26.242987;0.2;1.0;0.2
2019-09-10;287,36;70,19;;;19.3085;9.6085005;29.519999;0.0;0.0;0.0
